지자체명,연월,영엽횟수(회),운행거리(km),영업거리(km),공차거리(km),운행시간(초),영업시간(초),공차시간(초),1대당 1일평균
경기도 하남시,2024-03,15,190,99,96,32006,11712,20294,1대당 1일평균
경기도 용인시,2024-03,15,214,120,107,32446,13203,19243,1대당 1일평균
경기도 파주시,2024-03,17,257,129,128,38755,12768,25988,1대당 1일평균
경기도 이천시,2024-03,17,211,101,118,35662,11239,24424,1대당 1일평균
경기도 안성시,2024-03,15,206,94,128,31724,10106,21618,1대당 1일평균
경기도 김포시,2024-03,16,224,127,109,34450,14240,20210,1대당 1일평균
경기도 화성시,2024-03,15,239,132,114,33864,14444,19420,1대당 1일평균
경기도 광주시,2024-03,15,213,112,101,33274,12091,21183,1대당 1일평균
경기도 양주시,2024-03,17,197,109,88,31584,12200,19384,1대당 1일평균
경기도 포천시,2024-03,15,217,92,173,33900,9418,24481,1대당 1일평균
경기도 여주시,2024-03,17,207,89,118,33715,9492,24223,1대당 1일평균
경기도 연천군,2024-03,16,254,110,333,29901,9253,20648,1대당 1일평균
경기도 가평군,2024-03,16,213,95,118,32341,8337,24004,1대당 1일평균
경기도 양평군,2024-03,16,205,85,120,29565,8340,21225,1대당 1일평균
강원특별자치도 춘천시,2024-03,26,162,83,94,32227,12760,19466,1대당 1일평균
강원특별자치도 원주시,2024-03,23,174,90,108,32215,11728,20487,1대당 1일평균
강원특별자치도 강릉시,2024-03,23,165,84,83,31822,11304,20518,1대당 1일평균
강원특별자치도 동해시,2024-03,20,145,68,78,31890,8094,23795,1대당 1일평균
강원특별자치도 태백시,2024-03,22,183,76,107,32301,7876,24425,1대당 1일평균
강원특별자치도 속초시,2024-03,23,152,67,85,31297,9294,22003,1대당 1일평균
강원특별자치도 삼척시,2024-03,24,151,65,86,34699,8154,26544,1대당 1일평균
강원특별자치도 홍천군,2024-03,21,181,73,107,36441,7689,28752,1대당 1일평균
강원특별자치도 횡성군,2024-03,13,194,64,130,34453,6008,28446,1대당 1일평균
강원특별자치도 영월군,2024-03,17,185,51,134,31397,5558,25839,1대당 1일평균
강원특별자치도 평창군,2024-03,9,175,62,113,19827,4909,14918,1대당 1일평균
강원특별자치도 정선군,2024-03,17,248,87,161,33090,6997,26093,1대당 1일평균
강원특별자치도 철원군,2024-03,13,185,77,108,28844,6511,22333,1대당 1일평균
강원특별자치도 화천군,2024-03,13,182,73,110,30391,5800,24591,1대당 1일평균
강원특별자치도 양구군,2024-03,14,204,90,114,24470,6857,17613,1대당 1일평균
강원특별자치도 인제군,2024-03,11,204,82,122,26862,5697,21165,1대당 1일평균
강원특별자치도 고성군,2024-03,9,199,71,128,36946,5985,30961,1대당 1일평균
강원특별자치도 양양군,2024-03,10,150,56,94,32159,4951,27208,1대당 1일평균
충청북도 청주시,2024-03,19,184,97,87,31997,13258,18739,1대당 1일평균
충청북도 충주시,2024-03,21,173,77,97,32309,9864,22446,1대당 1일평균
충청북도 제천시,2024-03,22,160,71,90,28671,9357,19314,1대당 1일평균
충청북도 보은군,2024-03,6,157,46,110,22735,4946,17789,1대당 1일평균
충청북도 옥천군,2024-03,15,154,52,101,32323,6200,26123,1대당 1일평균
충청북도 영동군,2024-03,13,165,57,108,30183,5537,24645,1대당 1일평균
충청북도 증평군,2024-03,13,175,58,117,33836,6699,27136,1대당 1일평균
충청북도 진천군,2024-03,20,250,106,145,35918,10135,25783,1대당 1일평균
충청북도 괴산군,2024-03,10,194,77,117,22617,7719,14898,1대당 1일평균
충청북도 음성군,2024-03,17,242,101,141,37206,9050,28156,1대당 1일평균
충청북도 단양군,2024-03,9,145,48,372,28425,4679,23747,1대당 1일평균
충청남도 천안시,2024-03,24,213,121,93,36469,16290,20179,1대당 1일평균
충청남도 공주시,2024-03,15,188,70,118,37607,7487,30119,1대당 1일평균
충청남도 보령시,2024-03,16,150,59,90,35877,6988,28889,1대당 1일평균
충청남도 아산시,2024-03,19,211,109,102,34649,12042,22607,1대당 1일평균
충청남도 서산시,2024-03,25,209,100,143,44594,11896,32698,1대당 1일평균
충청남도 논산시,2024-03,15,165,70,95,35057,7740,27317,1대당 1일평균
충청남도 계룡시,2024-03,17,193,85,108,34882,8779,26103,1대당 1일평균
충청남도 당진시,2024-03,17,227,85,142,35716,8593,27123,1대당 1일평균
충청남도 금산군,2024-03,11,196,51,145,39346,5683,33664,1대당 1일평균
충청남도 부여군,2024-03,9,144,53,91,34279,5285,28994,1대당 1일평균
충청남도 서천군,2024-03,11,178,61,117,26353,5523,20830,1대당 1일평균
충청남도 청양군,2024-03,6,145,37,108,29837,3317,26520,1대당 1일평균
충청남도 홍성군,2024-03,17,176,69,107,37493,7457,30035,1대당 1일평균
충청남도 예산군,2024-03,15,193,64,129,36858,6378,30481,1대당 1일평균
충청남도 태안군,2024-03,10,151,47,104,31357,4609,26748,1대당 1일평균
전북특별자치도 전주시,2024-03,22,173,91,85,32589,13610,18980,1대당 1일평균
전북특별자치도 군산시,2024-03,21,174,81,93,31726,10358,21368,1대당 1일평균
전북특별자치도 익산시,2024-03,21,179,81,99,34674,10378,24296,1대당 1일평균
전북특별자치도 정읍시,2024-03,17,159,57,120,31711,6881,24830,1대당 1일평균
전북특별자치도 남원시,2024-03,16,152,54,98,33147,6222,26924,1대당 1일평균
전북특별자치도 김제시,2024-03,10,153,46,107,27130,4938,22192,1대당 1일평균
전북특별자치도 완주군,2024-03,16,210,93,119,34543,10415,24129,1대당 1일평균
전북특별자치도 진안군,2024-03,7,207,60,147,26593,6559,20034,1대당 1일평균
전북특별자치도 무주군,2024-03,6,136,43,93,15769,3977,11792,1대당 1일평균
전북특별자치도 장수군,2024-03,4,248,50,198,22395,5198,17197,1대당 1일평균
전북특별자치도 임실군,2024-03,6,186,70,116,20999,6212,14787,1대당 1일평균
전북특별자치도 순창군,2024-03,,,,,,,,1대당 1일평균
전북특별자치도 고창군,2024-03,11,184,53,131,29546,4771,24776,1대당 1일평균
전북특별자치도 부안군,2024-03,8,147,34,112,28634,3843,24791,1대당 1일평균
전라남도 목포시,2024-03,21,174,76,98,31711,11226,20485,1대당 1일평균
전라남도 여수시,2024-03,22,186,94,92,33308,11869,21439,1대당 1일평균
전라남도 순천시,2024-03,25,205,105,109,37346,13186,24160,1대당 1일평균
전라남도 나주시,2024-03,12,228,77,151,29106,7238,21868,1대당 1일평균
전라남도 광양시,2024-03,20,190,96,98,36328,10699,25629,1대당 1일평균
전라남도 담양군,2024-03,8,155,52,103,26778,5219,21559,1대당 1일평균
전라남도 곡성군,2024-03,4,172,47,125,24892,4160,20732,1대당 1일평균
전라남도 구례군,2024-03,11,178,50,128,33522,4729,28793,1대당 1일평균
전라남도 고흥군,2024-03,5,184,39,145,23403,3634,19769,1대당 1일평균
전라남도 보성군,2024-03,8,191,57,134,19781,4935,14846,1대당 1일평균
전라남도 화순군,2024-03,15,149,59,90,35838,6590,29247,1대당 1일평균
전라남도 장흥군,2024-03,7,197,56,141,24441,4973,19468,1대당 1일평균
전라남도 강진군,2024-03,9,198,47,151,22553,4659,17895,1대당 1일평균
전라남도 해남군,2024-03,13,200,61,139,26712,5759,20953,1대당 1일평균
전라남도 영암군,2024-03,9,202,69,133,21524,5840,15684,1대당 1일평균
전라남도 무안군,2024-03,16,209,86,153,27966,9187,18779,1대당 1일평균
전라남도 함평군,2024-03,,,,,,,,1대당 1일평균
전라남도 영광군,2024-03,10,177,51,127,35765,5136,30629,1대당 1일평균
전라남도 장성군,2024-03,8,178,53,136,35041,4929,30112,1대당 1일평균
전라남도 완도군,2024-03,13,181,49,132,27051,4871,22180,1대당 1일평균
전라남도 진도군,2024-03,5,205,46,160,22833,4075,18758,1대당 1일평균
전라남도 신안군,2024-03,10,179,67,112,20089,7034,13055,1대당 1일평균
경상북도 포항시,2024-03,19,177,88,90,30804,11353,19451,1대당 1일평균
경상북도 경주시,2024-03,20,197,91,107,32231,10170,22061,1대당 1일평균
경상북도 김천시,2024-03,16,170,81,89,33954,8646,25308,1대당 1일평균
경상북도 안동시,2024-03,23,185,84,101,34407,10332,24075,1대당 1일평균
경상북도 구미시,2024-03,22,204,110,94,35954,13557,22397,1대당 1일평균
경상북도 영주시,2024-03,19,137,54,83,31044,7622,23422,1대당 1일평균
경상북도 영천시,2024-03,16,152,57,96,26227,6751,19476,1대당 1일평균
경상북도 상주시,2024-03,14,133,40,93,32849,5269,27580,1대당 1일평균
경상북도 문경시,2024-03,,,,,,,,1대당 1일평균
경상북도 경산시,2024-03,17,202,97,105,33796,11226,22569,1대당 1일평균
경상북도 의성군,2024-03,5,178,40,139,22415,3370,19045,1대당 1일평균
경상북도 청송군,2024-03,6,159,53,106,18784,4774,14009,1대당 1일평균
경상북도 영양군,2024-03,6,185,70,115,20478,6100,14378,1대당 1일평균
경상북도 영덕군,2024-03,9,129,44,85,13007,5082,7925,1대당 1일평균
경상북도 청도군,2024-03,6,131,42,89,18477,4180,14297,1대당 1일평균
경상북도 고령군,2024-03,8,235,87,148,32117,7026,25091,1대당 1일평균
경상북도 성주군,2024-03,9,226,83,143,22697,6026,16671,1대당 1일평균
경상북도 칠곡군,2024-03,17,194,85,108,31346,8688,22658,1대당 1일평균
경상북도 예천군,2024-03,9,179,48,133,24165,4191,19974,1대당 1일평균
경상북도 봉화군,2024-03,3,159,30,129,19130,2472,16658,1대당 1일평균
경상북도 울진군,2024-03,13,187,58,129,26888,4711,22177,1대당 1일평균
경상북도 울릉군,2024-03,8,127,26,101,21844,3864,17979,1대당 1일평균
경상남도 창원시,2024-03,19,195,96,104,32556,11816,20740,1대당 1일평균
경상남도 진주시,2024-03,31,260,131,130,45490,15208,30282,1대당 1일평균
경상남도 통영시,2024-03,21,199,84,131,34402,10255,24147,1대당 1일평균
경상남도 사천시,2024-03,20,180,73,137,35387,8290,27097,1대당 1일평균
경상남도 김해시,2024-03,21,203,101,139,35219,12749,22470,1대당 1일평균
경상남도 밀양시,2024-03,16,162,62,100,29104,7082,22022,1대당 1일평균
경상남도 거제시,2024-03,24,209,107,102,38569,12259,26311,1대당 1일평균
경상남도 양산시,2024-03,23,207,100,107,37845,11849,25997,1대당 1일평균
경상남도 의령군,2024-03,5,132,46,86,15341,3740,11601,1대당 1일평균
경상남도 함안군,2024-03,9,170,61,109,25472,6125,19348,1대당 1일평균
경상남도 창녕군,2024-03,6,167,45,121,24949,4387,20561,1대당 1일평균
경상남도 고성군,2024-03,10,160,53,107,25099,5607,19492,1대당 1일평균
경상남도 남해군,2024-03,10,195,64,131,32111,6607,25504,1대당 1일평균
경상남도 하동군,2024-03,5,198,53,146,19208,5522,13686,1대당 1일평균
경상남도 산청군,2024-03,9,181,71,109,16267,5956,10310,1대당 1일평균
경상남도 함양군,2024-03,6,148,31,118,21903,2863,19040,1대당 1일평균
경상남도 거창군,2024-03,15,167,53,114,25869,5910,19959,1대당 1일평균
경상남도 합천군,2024-03,4,183,43,140,20450,4086,16364,1대당 1일평균
제주특별자치도,2024-03,17,189,97,95,30084,11916,18168,1대당 1일평균
서울특별시,2024-04,15,215,128,20779,34021,16503,17517,1대당 1일평균
부산광역시,2024-04,16,174,94,80,31538,12676,18861,1대당 1일평균
대구광역시,2024-04,15,161,80,81,30387,11084,19303,1대당 1일평균
인천광역시,2024-04,15,197,110,88,33145,13418,19727,1대당 1일평균
광주광역시,2024-04,20,189,113,76,33131,15199,17932,1대당 1일평균
대전광역시,2024-04,19,178,100,89,33194,14186,19009,1대당 1일평균
울산광역시,2024-04,18,188,97,98,32206,11938,20267,1대당 1일평균
세종특별자치시,2024-04,19,258,127,131,35572,12933,22639,1대당 1일평균
경기도 수원시,2024-04,18,191,114,79,33829,15454,18375,1대당 1일평균
경기도 성남시,2024-04,17,209,114,95,33060,13278,19782,1대당 1일평균
경기도 의정부시,2024-04,20,209,109,130,36471,14302,22168,1대당 1일평균
경기도 안양시,2024-04,17,191,107,86,34557,13718,20839,1대당 1일평균
경기도 부천시,2024-04,15,169,88,89,31473,12380,19093,1대당 1일평균
경기도 광명시,2024-04,11,188,95,101,31742,11188,20554,1대당 1일평균
경기도 평택시,2024-04,20,199,110,116,34744,13391,21353,1대당 1일평균
경기도 동두천시,2024-04,19,171,75,95,35771,9331,26440,1대당 1일평균
경기도 안산시,2024-04,20,180,100,85,32656,13619,19037,1대당 1일평균
경기도 고양시,2024-04,15,190,114,76,33003,13085,19918,1대당 1일평균
경기도 과천시,2024-04,16,199,110,90,34033,13299,20734,1대당 1일평균
경기도 구리시,2024-04,16,200,108,104,33090,12573,20517,1대당 1일평균
경기도 남양주시,2024-04,17,210,115,96,34764,12921,21843,1대당 1일평균
경기도 오산시,2024-04,15,188,104,84,32099,13323,18775,1대당 1일평균
경기도 시흥시,2024-04,16,184,101,84,32551,12325,20226,1대당 1일평균
경기도 군포시,2024-04,15,175,94,81,32704,12044,20659,1대당 1일평균
경기도 의왕시,2024-04,15,177,100,78,31795,12445,19349,1대당 1일평균
경기도 하남시,2024-04,15,196,102,96,32242,12070,20171,1대당 1일평균
경기도 용인시,2024-04,15,216,120,123,32213,13376,18836,1대당 1일평균
경기도 파주시,2024-04,17,263,131,131,39128,13027,26101,1대당 1일평균
경기도 이천시,2024-04,17,215,104,115,36130,11531,24599,1대당 1일평균
경기도 안성시,2024-04,15,209,95,135,32367,10351,22016,1대당 1일평균
경기도 김포시,2024-04,15,222,124,101,33854,13702,20152,1대당 1일평균
경기도 화성시,2024-04,15,240,131,117,33763,14489,19273,1대당 1일평균
경기도 광주시,2024-04,15,214,113,101,33404,12436,20968,1대당 1일평균
경기도 양주시,2024-04,16,198,108,90,31424,12107,19317,1대당 1일평균
경기도 포천시,2024-04,15,222,94,183,33375,9639,23736,1대당 1일평균
경기도 여주시,2024-04,17,215,94,121,33182,10021,23160,1대당 1일평균
경기도 연천군,2024-04,17,266,114,299,29859,9594,20265,1대당 1일평균
경기도 가평군,2024-04,18,238,108,129,33423,9745,23679,1대당 1일평균
경기도 양평군,2024-04,16,223,93,130,32273,9330,22943,1대당 1일평균
강원특별자치도 춘천시,2024-04,26,164,84,95,32820,12894,19927,1대당 1일평균
강원특별자치도 원주시,2024-04,23,177,91,109,32491,11883,20608,1대당 1일평균
강원특별자치도 강릉시,2024-04,23,169,88,83,31905,11859,20045,1대당 1일평균
강원특별자치도 동해시,2024-04,20,149,69,80,31788,8269,23519,1대당 1일평균
강원특별자치도 태백시,2024-04,23,188,79,109,32335,8145,24190,1대당 1일평균
강원특별자치도 속초시,2024-04,24,158,72,86,31507,9816,21691,1대당 1일평균
강원특별자치도 삼척시,2024-04,25,159,69,90,35201,8511,26690,1대당 1일평균
강원특별자치도 홍천군,2024-04,21,186,76,111,36949,8055,28894,1대당 1일평균
강원특별자치도 횡성군,2024-04,14,209,70,138,34959,6712,28247,1대당 1일평균
강원특별자치도 영월군,2024-04,18,196,57,139,31258,6248,25010,1대당 1일평균
강원특별자치도 평창군,2024-04,8,178,60,118,18103,4824,13279,1대당 1일평균
강원특별자치도 정선군,2024-04,16,253,89,165,32843,6978,25866,1대당 1일평균
강원특별자치도 철원군,2024-04,13,186,78,108,28048,6562,21486,1대당 1일평균
강원특별자치도 화천군,2024-04,14,194,78,115,28916,6298,22618,1대당 1일평균
강원특별자치도 양구군,2024-04,15,222,97,124,24925,7332,17593,1대당 1일평균
강원특별자치도 인제군,2024-04,11,216,86,130,27039,6013,21027,1대당 1일평균
강원특별자치도 고성군,2024-04,10,213,77,136,36707,6581,30126,1대당 1일평균
강원특별자치도 양양군,2024-04,11,170,66,104,32602,5696,26906,1대당 1일평균
충청북도 청주시,2024-04,19,186,97,88,31978,13315,18663,1대당 1일평균
충청북도 충주시,2024-04,21,175,77,98,32121,10013,22108,1대당 1일평균
충청북도 제천시,2024-04,22,164,71,94,28660,9512,19148,1대당 1일평균
충청북도 보은군,2024-04,6,171,50,121,22736,5552,17184,1대당 1일평균
충청북도 옥천군,2024-04,15,165,56,110,32140,6596,25543,1대당 1일평균
충청북도 영동군,2024-04,13,177,61,117,30531,5898,24634,1대당 1일평균
충청북도 증평군,2024-04,13,175,57,118,33300,6537,26762,1대당 1일평균
충청북도 진천군,2024-04,19,245,103,142,35670,9982,25687,1대당 1일평균
충청북도 괴산군,2024-04,10,202,80,122,22618,8177,14440,1대당 1일평균
충청북도 음성군,2024-04,17,246,101,145,37257,9184,28074,1대당 1일평균
충청북도 단양군,2024-04,11,168,58,333,28847,5703,23144,1대당 1일평균
충청남도 천안시,2024-04,24,213,120,94,36295,16204,20091,1대당 1일평균
충청남도 공주시,2024-04,14,185,70,115,35173,7645,27528,1대당 1일평균
충청남도 보령시,2024-04,17,161,65,96,35840,7580,28260,1대당 1일평균
충청남도 아산시,2024-04,19,213,111,102,34336,12327,22009,1대당 1일평균
충청남도 서산시,2024-04,25,213,102,187,44876,12060,32816,1대당 1일평균
충청남도 논산시,2024-04,15,174,74,99,35279,7947,27332,1대당 1일평균
충청남도 계룡시,2024-04,19,204,91,113,34778,9546,25233,1대당 1일평균
충청남도 당진시,2024-04,17,232,88,144,35285,8797,26488,1대당 1일평균
충청남도 금산군,2024-04,10,178,56,122,33115,5889,27226,1대당 1일평균
충청남도 부여군,2024-04,9,154,57,98,34758,5662,29096,1대당 1일평균
충청남도 서천군,2024-04,11,202,69,133,26124,6342,19782,1대당 1일평균
충청남도 청양군,2024-04,6,150,37,113,29691,3362,26328,1대당 1일평균
충청남도 홍성군,2024-04,18,177,70,106,36731,7658,29073,1대당 1일평균
충청남도 예산군,2024-04,15,193,67,126,36219,6560,29659,1대당 1일평균
충청남도 태안군,2024-04,10,162,50,112,31527,4888,26639,1대당 1일평균
전북특별자치도 전주시,2024-04,22,173,90,84,32383,13662,18721,1대당 1일평균
전북특별자치도 군산시,2024-04,21,177,83,94,31626,10718,20909,1대당 1일평균
전북특별자치도 익산시,2024-04,20,183,82,101,34807,10436,24371,1대당 1일평균
전북특별자치도 정읍시,2024-04,17,164,60,104,31563,7126,24437,1대당 1일평균
전북특별자치도 남원시,2024-04,16,157,56,100,33222,6563,26659,1대당 1일평균
전북특별자치도 김제시,2024-04,13,160,50,110,26923,5742,21181,1대당 1일평균
전북특별자치도 완주군,2024-04,12,213,84,129,32177,8867,23310,1대당 1일평균
전북특별자치도 진안군,2024-04,9,242,71,171,27493,7140,20353,1대당 1일평균
전북특별자치도 무주군,2024-04,7,162,51,111,18453,4550,13903,1대당 1일평균
전북특별자치도 장수군,2024-04,4,252,52,200,22748,5082,17666,1대당 1일평균
전북특별자치도 임실군,2024-04,7,203,75,128,21890,6741,15149,1대당 1일평균
전북특별자치도 순창군,2024-04,8,192,65,127,28762,6886,21876,1대당 1일평균
전북특별자치도 고창군,2024-04,12,184,52,131,27226,4917,22309,1대당 1일평균
전북특별자치도 부안군,2024-04,9,176,51,125,27520,5199,22321,1대당 1일평균
전라남도 목포시,2024-04,22,178,79,99,31709,11653,20056,1대당 1일평균
전라남도 여수시,2024-04,25,203,106,97,34757,12870,21886,1대당 1일평균
전라남도 순천시,2024-04,25,207,106,132,37350,13461,23890,1대당 1일평균
전라남도 나주시,2024-04,12,236,81,155,29094,7574,21520,1대당 1일평균
전라남도 광양시,2024-04,20,192,96,99,36522,10790,25733,1대당 1일평균
전라남도 담양군,2024-04,8,166,57,109,26730,5644,21086,1대당 1일평균
전라남도 곡성군,2024-04,5,180,50,130,23507,4001,19506,1대당 1일평균
전라남도 구례군,2024-04,10,184,47,137,33126,4437,28690,1대당 1일평균
전라남도 고흥군,2024-04,6,194,43,152,22962,3722,19239,1대당 1일평균
전라남도 보성군,2024-04,9,210,65,145,21234,5656,15579,1대당 1일평균
전라남도 화순군,2024-04,15,158,63,96,35289,6961,28328,1대당 1일평균
전라남도 장흥군,2024-04,7,206,56,149,25074,5040,20035,1대당 1일평균
전라남도 강진군,2024-04,9,207,50,157,24562,4802,19760,1대당 1일평균
전라남도 해남군,2024-04,13,214,67,147,26843,6151,20691,1대당 1일평균
전라남도 영암군,2024-04,9,210,70,140,21768,6009,15759,1대당 1일평균
전라남도 무안군,2024-04,16,220,90,169,28731,9460,19271,1대당 1일평균
전라남도 함평군,2024-04,,,,,,,,1대당 1일평균
전라남도 영광군,2024-04,11,201,58,143,36663,5591,31073,1대당 1일평균
전라남도 장성군,2024-04,9,184,57,127,35840,5306,30534,1대당 1일평균
전라남도 완도군,2024-04,13,192,51,141,27568,5064,22504,1대당 1일평균
전라남도 진도군,2024-04,5,222,49,175,23114,4357,18757,1대당 1일평균
전라남도 신안군,2024-04,11,183,62,121,21615,6669,14945,1대당 1일평균
경상북도 포항시,2024-04,19,178,88,90,30773,11436,19337,1대당 1일평균
경상북도 경주시,2024-04,20,207,99,114,32491,10984,21507,1대당 1일평균
경상북도 김천시,2024-04,17,171,82,89,34415,8830,25585,1대당 1일평균
경상북도 안동시,2024-04,21,180,82,98,31626,9863,21763,1대당 1일평균
경상북도 구미시,2024-04,22,206,110,96,36260,13688,22572,1대당 1일평균
경상북도 영주시,2024-04,20,142,57,85,30287,7916,22371,1대당 1일평균
경상북도 영천시,2024-04,16,158,59,100,26675,7061,19614,1대당 1일평균
경상북도 상주시,2024-04,14,133,41,93,33011,5348,27663,1대당 1일평균
경상북도 문경시,2024-04,17,163,63,101,35146,7052,28095,1대당 1일평균
경상북도 경산시,2024-04,16,191,91,100,32298,10519,21779,1대당 1일평균
경상북도 의성군,2024-04,5,179,38,141,22074,3364,18710,1대당 1일평균
경상북도 청송군,2024-04,6,169,57,113,18878,5123,13755,1대당 1일평균
경상북도 영양군,2024-04,6,193,71,123,20804,6415,14389,1대당 1일평균
경상북도 영덕군,2024-04,8,157,51,106,14321,4646,9675,1대당 1일평균
경상북도 청도군,2024-04,6,136,44,91,18244,4533,13710,1대당 1일평균
경상북도 고령군,2024-04,8,248,90,157,32489,7283,25206,1대당 1일평균
경상북도 성주군,2024-04,9,220,72,148,22858,6943,15915,1대당 1일평균
경상북도 칠곡군,2024-04,18,200,92,108,31937,9271,22666,1대당 1일평균
경상북도 예천군,2024-04,8,184,46,138,23281,3998,19283,1대당 1일평균
경상북도 봉화군,2024-04,4,189,41,148,20062,3555,16507,1대당 1일평균
경상북도 울진군,2024-04,11,186,51,135,22579,4368,18211,1대당 1일평균
경상북도 울릉군,2024-04,10,181,34,147,26860,5174,21686,1대당 1일평균
경상남도 창원시,2024-04,19,195,96,110,32502,11827,20676,1대당 1일평균
경상남도 진주시,2024-04,23,196,99,99,35018,12100,22918,1대당 1일평균
경상남도 통영시,2024-04,22,202,88,127,34220,10720,23500,1대당 1일평균
경상남도 사천시,2024-04,21,185,76,150,35275,8613,26662,1대당 1일평균
경상남도 김해시,2024-04,21,198,99,129,34417,12614,21802,1대당 1일평균
경상남도 밀양시,2024-04,17,165,63,102,29488,7369,22120,1대당 1일평균
경상남도 거제시,2024-04,25,216,112,104,38919,12690,26229,1대당 1일평균
경상남도 양산시,2024-04,22,206,98,108,37752,11775,25978,1대당 1일평균
경상남도 의령군,2024-04,6,145,53,92,15893,4247,11646,1대당 1일평균
경상남도 함안군,2024-04,9,179,65,115,26172,6528,19644,1대당 1일평균
경상남도 창녕군,2024-04,6,177,48,129,25368,4673,20695,1대당 1일평균
경상남도 고성군,2024-04,10,166,55,111,25515,5745,19770,1대당 1일평균
경상남도 남해군,2024-04,7,163,50,113,23671,4821,18850,1대당 1일평균
경상남도 하동군,2024-04,5,200,49,152,19224,4734,14491,1대당 1일평균
경상남도 산청군,2024-04,9,198,79,119,18117,6638,11479,1대당 1일평균
경상남도 함양군,2024-04,7,167,35,131,21835,3302,18533,1대당 1일평균
경상남도 거창군,2024-04,16,177,56,120,25892,6326,19566,1대당 1일평균
경상남도 합천군,2024-04,4,197,45,152,21273,4372,16901,1대당 1일평균
제주특별자치도,2024-04,17,194,101,97,30266,12410,17855,1대당 1일평균
서울특별시,2024-05,15,213,128,22442,33803,16583,17219,1대당 1일평균
부산광역시,2024-05,16,175,96,78,31289,13128,18161,1대당 1일평균
대구광역시,2024-05,15,161,82,80,30168,11437,18730,1대당 1일평균
인천광역시,2024-05,15,196,110,87,32725,13463,19262,1대당 1일평균
광주광역시,2024-05,20,189,115,75,32668,15514,17155,1대당 1일평균
대전광역시,2024-05,20,180,102,88,33282,14584,18698,1대당 1일평균
울산광역시,2024-05,18,188,97,97,32260,11924,20336,1대당 1일평균
세종특별자치시,2024-05,19,253,125,129,35075,12685,22390,1대당 1일평균
경기도 수원시,2024-05,18,189,113,77,33457,15410,18046,1대당 1일평균
경기도 성남시,2024-05,17,207,113,94,32875,13380,19495,1대당 1일평균
경기도 의정부시,2024-05,20,209,110,111,36337,14398,21939,1대당 1일평균
경기도 안양시,2024-05,17,188,106,88,33905,13529,20376,1대당 1일평균
경기도 부천시,2024-05,15,168,88,85,31077,12370,18707,1대당 1일평균
경기도 광명시,2024-05,12,188,95,113,32753,11359,21394,1대당 1일평균
경기도 평택시,2024-05,20,198,109,95,34388,13310,21078,1대당 1일평균
경기도 동두천시,2024-05,19,170,76,95,35784,9481,26303,1대당 1일평균
경기도 안산시,2024-05,20,178,100,87,32159,13700,18459,1대당 1일평균
경기도 고양시,2024-05,15,189,114,75,32915,13214,19701,1대당 1일평균
경기도 과천시,2024-05,16,199,109,90,33820,13305,20515,1대당 1일평균
경기도 구리시,2024-05,16,198,108,109,33526,12584,20942,1대당 1일평균
경기도 남양주시,2024-05,17,210,115,95,34493,13010,21483,1대당 1일평균
경기도 오산시,2024-05,15,184,101,83,31899,13013,18886,1대당 1일평균
경기도 시흥시,2024-05,16,183,101,82,31893,12272,19621,1대당 1일평균
경기도 군포시,2024-05,15,176,95,81,32698,11949,20749,1대당 1일평균
경기도 의왕시,2024-05,15,175,98,80,32231,12421,19810,1대당 1일평균
경기도 하남시,2024-05,15,198,103,99,32710,12274,20436,1대당 1일평균
경기도 용인시,2024-05,15,217,120,117,33352,13423,19929,1대당 1일평균
경기도 파주시,2024-05,17,265,133,132,38811,13184,25628,1대당 1일평균
경기도 이천시,2024-05,17,214,103,122,35971,11548,24423,1대당 1일평균
경기도 안성시,2024-05,15,208,95,135,32214,10329,21886,1대당 1일평균
경기도 김포시,2024-05,15,223,124,104,34155,13495,20659,1대당 1일평균
경기도 화성시,2024-05,15,240,130,126,33766,14438,19328,1대당 1일평균
경기도 광주시,2024-05,15,209,111,98,32779,12259,20520,1대당 1일평균
경기도 양주시,2024-05,16,198,108,89,31811,12196,19615,1대당 1일평균
경기도 포천시,2024-05,16,228,97,167,34142,9900,24243,1대당 1일평균
경기도 여주시,2024-05,18,214,96,118,33614,10281,23333,1대당 1일평균
경기도 연천군,2024-05,18,283,123,354,30633,10272,20361,1대당 1일평균
경기도 가평군,2024-05,19,251,115,136,33419,10294,23124,1대당 1일평균
경기도 양평군,2024-05,16,222,93,128,33874,9272,24602,1대당 1일평균
강원특별자치도 춘천시,2024-05,26,166,86,85,32759,13090,19669,1대당 1일평균
강원특별자치도 원주시,2024-05,23,179,92,109,33651,12066,21585,1대당 1일평균
강원특별자치도 강릉시,2024-05,24,174,93,82,31620,12431,19189,1대당 1일평균
강원특별자치도 동해시,2024-05,21,152,72,81,32179,8600,23578,1대당 1일평균
강원특별자치도 태백시,2024-05,23,188,82,106,31306,8469,22836,1대당 1일평균
강원특별자치도 속초시,2024-05,25,163,77,86,31189,10537,20652,1대당 1일평균
강원특별자치도 삼척시,2024-05,26,161,72,90,34533,8837,25696,1대당 1일평균
강원특별자치도 홍천군,2024-05,22,188,77,110,37661,8280,29381,1대당 1일평균
강원특별자치도 횡성군,2024-05,15,217,75,142,34813,7200,27612,1대당 1일평균
강원특별자치도 영월군,2024-05,18,195,56,139,31048,6122,24926,1대당 1일평균
강원특별자치도 평창군,2024-05,9,194,69,125,19584,5457,14128,1대당 1일평균
