"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-06-18","경주시","3598846","1160108","385856","65895"
"2022-06-19","경주시","2997617","1137076","263497","50551"
"2022-06-20","경주시","2308036","514271","113185","20179"
"2022-06-21","경주시","2472392","481035","121156","15941"
"2022-06-22","경주시","2326233","518490","115796","17964"
"2022-06-23","경주시","2554700","625858","120209","19870"
"2022-06-24","경주시","2641606","640427","188906","22096"
"2022-06-25","경주시","3632030","1189823","355559","66206"
"2022-06-26","경주시","3186325","1143009","282032","68045"
"2022-06-27","경주시","2144871","480821","118840","25737"
"2022-06-28","경주시","2522290","502723","152573","20586"
"2022-06-29","경주시","2391708","466448","92357","26136"
"2022-06-30","경주시","2547105","571626","115745","20351"
"2022-07-01","경주시","2884641","628135","213733","27356"
"2022-07-02","경주시","3725199","1120416","385030","164019"
"2022-07-03","경주시","2968413","1036205","322183","50884"
"2022-07-04","경주시","2368824","476987","165929","20406"
"2022-07-05","경주시","2267410","478380","86302","21502"
"2022-07-06","경주시","2351495","451497","112011","26137"
"2022-07-07","경주시","2425528","480517","99280","19056"
"2022-07-08","경주시","2685859","588000","238724","20746"
"2022-07-09","경주시","3591244","1205269","306490","73136"
"2022-07-10","경주시","3068310","1142626","277615","63876"
"2022-07-11","경주시","2478507","520925","292999","21398"
"2022-07-12","경주시","2278934","480990","133523","20566"
"2022-07-13","경주시","2466219","500499","170944","26363"
"2022-07-14","경주시","2489111","559186","149972","21818"
"2022-07-15","경주시","2761356","665063","245602","30643"
"2022-07-16","경주시","3458526","1147231","308760","74338"
"2022-07-17","경주시","3048896","1105588","324475","70167"
"2022-07-18","경주시","2072915","506244","144459","20352"
"2022-07-19","경주시","2360231","544390","188151","21499"
"2022-07-20","경주시","2681824","546948","301339","26735"
"2022-07-21","경주시","2586682","605454","197808","33297"
"2022-07-22","경주시","2777670","717463","249327","36124"
"2022-07-23","경주시","3657253","1234582","387929","98432"
"2022-07-24","경주시","3212615","1239712","406096","73786"
"2022-07-25","경주시","2835876","782503","316604","47117"
"2022-07-26","경주시","2945573","770603","307715","53912"
"2022-07-27","경주시","3171557","805566","378813","53975"
"2022-07-28","경주시","3315665","957210","335354","59170"
"2022-07-29","경주시","3601272","1056576","388821","65165"
"2022-07-30","경주시","4311267","1535776","542199","98549"
"2022-07-31","경주시","3897021","1584213","476153","110094"
"2022-08-01","경주시","3701803","1291474","438647","103307"
"2022-08-02","경주시","3470790","1218921","451402","86433"
"2022-08-03","경주시","3619972","1124003","768321","63242"
"2022-08-04","경주시","3268634","1082735","443485","69279"
"2022-08-05","경주시","3376659","1161258","433344","70072"
"2022-08-06","경주시","3712336","1440436","423085","73611"
"2022-08-07","경주시","3320969","1275232","465459","71241"
"2022-08-08","경주시","3005750","884398","286565","63247"
"2022-08-09","경주시","2923145","802502","313223","64669"
"2022-08-10","경주시","2890544","803806","324076","43597"
"2022-08-11","경주시","2914566","868133","325735","49891"
"2022-08-12","경주시","3290056","980601","310079","63575"
"2022-08-13","경주시","4147542","1550345","443482","92390"
"2022-08-14","경주시","4195025","1826327","481812","131834"
"2022-08-15","경주시","3739705","1394959","523891","89717"
"2022-08-16","경주시","2672880","763463","271043","42608"
"2022-08-17","경주시","2764966","734090","386628","41514"
"2022-08-18","경주시","2726186","711248","269525","40735"
