"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-06-29","수원시 팔달구","2538281","1047663","30445","29726"
"2022-06-30","수원시 팔달구","2319327","910610","30092","19112"
"2022-07-01","수원시 팔달구","3709906","1409590","26958","32206"
"2022-07-02","수원시 팔달구","5693319","2297540","137228","56864"
"2022-07-03","수원시 팔달구","4879181","1674873","123743","52988"
"2022-07-04","수원시 팔달구","2431634","938133","30969","36181"
"2022-07-05","수원시 팔달구","2623166","1049990","26360","22545"
"2022-07-06","수원시 팔달구","2852154","1037784","31182","28264"
"2022-07-07","수원시 팔달구","2660097","1086992","38581","21343"
"2022-07-08","수원시 팔달구","4739361","1443761","36492","29873"
"2022-07-09","수원시 팔달구","5840189","2331378","215306","76177"
"2022-07-10","수원시 팔달구","5137482","1863845","82091","61687"
"2022-07-11","수원시 팔달구","1988646","1006729","35225","25037"
"2022-07-12","수원시 팔달구","2522795","1016440","28627","19609"
"2022-07-13","수원시 팔달구","2010645","830072","40710","21238"
"2022-07-14","수원시 팔달구","2608509","1097167","31344","22755"
"2022-07-15","수원시 팔달구","4231288","1477829","44146","38695"
"2022-07-16","수원시 팔달구","6360656","2441068","108455","55742"
"2022-07-17","수원시 팔달구","5452157","1761713","156796","54010"
"2022-07-18","수원시 팔달구","2308867","967061","39535","21106"
"2022-07-19","수원시 팔달구","2424917","1001930","30757","21943"
"2022-07-20","수원시 팔달구","2657196","1116189","34571","28610"
"2022-07-21","수원시 팔달구","2553204","1064708","26646","31499"
"2022-07-22","수원시 팔달구","3434297","1423293","47219","27421"
"2022-07-23","수원시 팔달구","4799955","2145013","139073","49288"
"2022-07-24","수원시 팔달구","4231731","1757617","123136","58146"
"2022-07-25","수원시 팔달구","2460849","1066876","32123","23626"
"2022-07-26","수원시 팔달구","2434773","1059513","24874","32485"
"2022-07-27","수원시 팔달구","2627046","1127964","25936","29414"
"2022-07-28","수원시 팔달구","2704464","1155024","27789","27983"
"2022-07-29","수원시 팔달구","3525460","1391262","40923","35164"
"2022-07-30","수원시 팔달구","4768125","2152341","111393","73703"
"2022-07-31","수원시 팔달구","3537654","1528664","87146","65669"
"2022-08-01","수원시 팔달구","2734103","1125565","41699","36316"
"2022-08-02","수원시 팔달구","2611216","1104246","33317","31842"
"2022-08-03","수원시 팔달구","2769275","1177758","37103","57206"
"2022-08-04","수원시 팔달구","2601192","1129833","33998","32040"
"2022-08-05","수원시 팔달구","3831056","1430086","40890","37126"
"2022-08-06","수원시 팔달구","5482631","2057827","83130","60933"
"2022-08-07","수원시 팔달구","4172883","1589651","88521","57929"
"2022-08-08","수원시 팔달구","1606869","883855","31174","18569"
"2022-08-09","수원시 팔달구","1996283","768343","41326","18010"
"2022-08-10","수원시 팔달구","2389099","990932","57372","31055"
"2022-08-11","수원시 팔달구","2475375","995582","36178","27308"
"2022-08-12","수원시 팔달구","3316503","1437313","38643","28519"
"2022-08-13","수원시 팔달구","4567891","2079608","162693","75204"
"2022-08-14","수원시 팔달구","3974103","1953992","92562","54024"
"2022-08-15","수원시 팔달구","3322001","1481793","74926","44237"
"2022-08-16","수원시 팔달구","2466028","1024970","30081","26824"
"2022-08-17","수원시 팔달구","2483412","1047732","31177","23576"
"2022-08-18","수원시 팔달구","2622149","1121645","34617","25906"
"2022-08-19","수원시 팔달구","4211945","1235969","40375","30211"
"2022-08-20","수원시 팔달구","6167532","2235866","113922","90203"
"2022-08-21","수원시 팔달구","5392643","1809429","78520","55712"
"2022-08-22","수원시 팔달구","2339160","938206","28203","24678"
"2022-08-23","수원시 팔달구","2272834","998925","27763","20929"
"2022-08-24","수원시 팔달구","2526854","1093427","28514","33558"
"2022-08-25","수원시 팔달구","2455025","1107455","29030","21098"
"2022-08-26","수원시 팔달구","3836191","1412342","40851","39125"
"2022-08-27","수원시 팔달구","5676909","2400253","97939","53524"
"2022-08-28","수원시 팔달구","5050598","1849873","133697","56951"
"2022-08-29","수원시 팔달구","2359621","981049","44130","19823"
"2022-08-30","수원시 팔달구","2294679","920514","37813","28025"
"2022-08-31","수원시 팔달구","2773027","1158285","28314","26986"
"2022-09-01","수원시 팔달구","3241375","1131646","38233","20402"
"2022-09-02","수원시 팔달구","3662803","1419062","52333","19297"
"2022-09-03","수원시 팔달구","5773593","2402271","180578","69389"
"2022-09-04","수원시 팔달구","4410251","1587446","171643","38149"
"2022-09-05","수원시 팔달구","1926154","671513","33904","12872"
"2022-09-06","수원시 팔달구","2771514","969234","16853","17890"
"2022-09-07","수원시 팔달구","3205782","1088665","50154","22595"
"2022-09-08","수원시 팔달구","4134664","1561201","30573","52790"
"2022-09-09","수원시 팔달구","4793084","1803088","75983","50702"
"2022-09-10","수원시 팔달구","1901592","1093332","76180","49693"
"2022-09-11","수원시 팔달구","4454089","1873626","64384","63469"
"2022-09-12","수원시 팔달구","4096458","1588907","55536","65452"
"2022-09-13","수원시 팔달구","2354421","888029","26514","20121"
"2022-09-14","수원시 팔달구","2294080","897461","27617","28803"
"2022-09-15","수원시 팔달구","2559126","1050263","41302","17238"
"2022-09-16","수원시 팔달구","5433290","1274726","33131","30464"
"2022-09-17","수원시 팔달구","6750105","2291507","125453","59727"
"2022-09-18","수원시 팔달구","6130137","1811691","268299","48075"
"2022-09-19","수원시 팔달구","2452109","919601","29279","30686"
"2022-09-20","수원시 팔달구","2496250","1041489","24334","28259"
"2022-09-21","수원시 팔달구","2784008","1048859","36217","25743"
"2022-09-22","수원시 팔달구","2827134","1088341","33780","21687"
"2022-09-23","수원시 팔달구","3752191","1400565","38500","20735"
"2022-09-24","수원시 팔달구","6107948","2566330","302225","54376"
"2022-09-25","수원시 팔달구","5157615","1961158","323207","52723"
"2022-09-26","수원시 팔달구","2448962","979937","37593","22991"
"2022-09-27","수원시 팔달구","2363985","988526","22967","16281"
"2022-09-28","수원시 팔달구","2540726","1079252","25516","23688"
"2022-09-29","수원시 팔달구","2755392","1102830","34407","35187"
"2022-09-30","수원시 팔달구","3892560","1462959","36350","31404"
"2022-10-01","수원시 팔달구","6458554","2652358","192236","103702"
"2022-10-02","수원시 팔달구","5622457","2284925","323501","71790"
"2022-10-03","수원시 팔달구","4293219","1485460","167590","56982"
"2022-10-04","수원시 팔달구","2450572","969979","26481","24737"
"2022-10-05","수원시 팔달구","2757151","1105156","34830","14805"
"2022-10-06","수원시 팔달구","2940695","1176220","35050","30342"
"2022-10-07","수원시 팔달구","4014063","1500809","40150","21943"
"2022-10-08","수원시 팔달구","6145168","2605231","164383","68851"
"2022-10-09","수원시 팔달구","5374130","2142004","215061","58913"
"2022-10-10","수원시 팔달구","4507944","1576766","71864","29611"
"2022-10-11","수원시 팔달구","2793534","1051130","31147","14919"
"2022-10-12","수원시 팔달구","2792787","1070742","26610","17516"
"2022-10-13","수원시 팔달구","2876402","1148437","28752","32927"
"2022-10-14","수원시 팔달구","3727535","1528523","32082","28676"
